Distance_Num,Bill subtotal,Packaging charges,Total,Target_Beli,Status_Transaksi
2.0,325.0,16.25,341.25,1,Sukses (Delivered)
3.0,355.0,17.75,372.75,1,Sukses (Delivered)
4.0,797.0,19.93,418.43,1,Sukses (Delivered)
8.0,809.0,35.8,751.8,1,Sukses (Delivered)
5.0,789.0,34.45,723.45,1,Sukses (Delivered)
2.0,649.0,16.23,340.73,1,Sukses (Delivered)
2.0,1355.0,55.56,1166.66,1,Sukses (Delivered)
1.0,858.0,26.18,549.71,1,Sukses (Delivered)
4.0,599.0,24.95,523.95,1,Sukses (Delivered)
5.0,259.0,7.95,166.95,1,Sukses (Delivered)
5.0,1170.0,50.6,1062.65,1,Sukses (Delivered)
1.0,579.0,23.35,490.35,1,Sukses (Delivered)
2.0,310.0,15.5,325.5,1,Sukses (Delivered)
4.0,479.0,23.95,502.95,1,Sukses (Delivered)
2.0,1170.0,54.5,1144.5,1,Sukses (Delivered)
7.0,599.0,24.95,523.95,1,Sukses (Delivered)
5.0,838.0,36.9,774.9,1,Sukses (Delivered)
7.0,325.0,16.25,341.25,1,Sukses (Delivered)
2.0,544.0,27.2,571.2,1,Sukses (Delivered)
6.0,1007.0,42.5,892.5,1,Sukses (Delivered)
